[2024-05-25 20:40:39.736752][INFO],sample=7468,pothole_count=89
[2024-05-25 20:40:39.750000][INFO],sample=7469,pothole_count=90
[2024-05-25 20:40:47.527317][INFO],sample=8055,bump_count=91
[2024-05-25 20:40:47.540543][INFO],sample=8056,bump_count=92
[2024-05-25 20:40:47.553771][INFO],sample=8057,bump_count=93
[2024-05-25 20:40:47.566993][INFO],sample=8058,bump_count=94
[2024-05-25 20:40:47.580211][INFO],sample=8059,bump_count=95
[2024-05-25 20:40:47.593516][INFO],sample=8060,bump_count=96
[2024-05-25 20:40:47.606875][INFO],sample=8061,bump_count=97
[2024-05-25 20:40:47.620215][INFO],sample=8062,bump_count=98
[2024-05-25 20:40:47.633529][INFO],sample=8063,bump_count=99
[2024-05-25 20:40:47.646755][INFO],sample=8064,bump_count=100
[2024-05-25 20:40:47.659982][INFO],sample=8065,bump_count=101
[2024-05-25 20:40:47.673204][INFO],sample=8066,bump_count=102
[2024-05-25 20:40:47.686438][INFO],sample=8067,bump_count=103
[2024-05-25 20:40:47.699683][INFO],sample=8068,bump_count=104
[2024-05-25 20:40:47.712903][INFO],sample=8069,bump_count=105
[2024-05-25 20:40:47.726129][INFO],sample=8070,bump_count=106
[2024-05-25 20:40:47.739350][INFO],sample=8071,bump_count=107
[2024-05-25 20:40:47.752571][INFO],sample=8072,bump_count=108
[2024-05-25 20:40:47.765807][INFO],sample=8073,bump_count=109
[2024-05-25 20:40:47.779025][INFO],sample=8074,bump_count=110
[2024-05-25 20:40:47.792245][INFO],sample=8075,bump_count=111
[2024-05-25 20:40:47.805475][INFO],sample=8076,bump_count=112
[2024-05-25 20:40:47.818715][INFO],sample=8077,bump_count=113
[2024-05-25 20:40:47.831939][INFO],sample=8078,bump_count=114
[2024-05-25 20:40:47.845156][INFO],sample=8079,bump_count=115
[2024-05-25 20:40:47.858396][INFO],sample=8080,bump_count=116
[2024-05-25 20:40:47.871615][INFO],sample=8081,bump_count=117
[2024-05-25 20:40:47.884834][INFO],sample=8082,bump_count=118
[2024-05-25 20:40:47.898059][INFO],sample=8083,bump_count=119
[2024-05-25 20:40:47.911277][INFO],sample=8084,bump_count=120
[2024-05-25 20:40:47.924513][INFO],sample=8085,bump_count=121
[2024-05-25 20:40:47.937744][INFO],sample=8086,bump_count=122
[2024-05-25 20:40:47.950980][INFO],sample=8087,bump_count=123
[2024-05-25 20:40:47.964198][INFO],sample=8088,bump_count=124
[2024-05-25 20:40:47.977436][INFO],sample=8089,bump_count=125
[2024-05-25 20:40:47.990690][INFO],sample=8090,bump_count=126
[2024-05-25 20:40:48.3908][INFO],sample=8091,bump_count=127
[2024-05-25 20:40:48.17127][INFO],sample=8092,bump_count=128
[2024-05-25 20:40:48.30383][INFO],sample=8093,bump_count=129
[2024-05-25 20:40:48.43598][INFO],sample=8094,bump_count=130
[2024-05-25 20:40:48.56811][INFO],sample=8095,bump_count=131
[2024-05-25 20:40:48.70028][INFO],sample=8096,bump_count=132
[2024-05-25 20:40:48.83241][INFO],sample=8097,bump_count=133
[2024-05-25 20:40:48.96454][INFO],sample=8098,bump_count=134
[2024-05-25 20:40:48.109672][INFO],sample=8099,bump_count=135
[2024-05-25 20:40:48.122907][INFO],sample=8100,bump_count=136
[2024-05-25 20:40:48.136148][INFO],sample=8101,bump_count=137
[2024-05-25 20:40:48.149379][INFO],sample=8102,bump_count=138
[2024-05-25 20:40:48.162594][INFO],sample=8103,bump_count=139
[2024-05-25 20:40:48.175810][INFO],sample=8104,bump_count=140
[2024-05-25 20:40:48.189024][INFO],sample=8105,bump_count=141
[2024-05-25 20:40:48.202247][INFO],sample=8106,bump_count=142
[2024-05-25 20:40:48.215468][INFO],sample=8107,bump_count=143
[2024-05-25 20:40:48.228682][INFO],sample=8108,bump_count=144
[2024-05-25 20:40:48.241901][INFO],sample=8109,bump_count=145
[2024-05-25 20:40:48.255126][INFO],sample=8110,bump_count=146
[2024-05-25 20:40:48.268340][INFO],sample=8111,bump_count=147
[2024-05-25 20:40:48.281556][INFO],sample=8112,bump_count=148
[2024-05-25 20:40:48.294770][INFO],sample=8113,bump_count=149
[2024-05-25 20:40:48.307984][INFO],sample=8114,bump_count=150
[2024-05-25 20:40:48.321201][INFO],sample=8115,bump_count=151
[2024-05-25 20:40:48.334428][INFO],sample=8116,bump_count=152
[2024-05-25 20:40:48.347641][INFO],sample=8117,bump_count=153
[2024-05-25 20:40:48.360877][INFO],sample=8118,bump_count=154
[2024-05-25 20:40:48.374095][INFO],sample=8119,bump_count=155
[2024-05-25 20:40:48.387308][INFO],sample=8120,bump_count=156
[2024-05-25 20:40:48.400520][INFO],sample=8121,bump_count=157
[2024-05-25 20:40:48.413737][INFO],sample=8122,bump_count=158
[2024-05-25 20:40:48.426949][INFO],sample=8123,bump_count=159
[2024-05-25 20:40:48.440166][INFO],sample=8124,bump_count=160
[2024-05-25 20:40:48.453389][INFO],sample=8125,bump_count=161
[2024-05-25 20:40:48.466604][INFO],sample=8126,bump_count=162
[2024-05-25 20:40:48.479831][INFO],sample=8127,bump_count=163
[2024-05-25 20:40:48.493052][INFO],sample=8128,bump_count=164
[2024-05-25 20:40:48.506317][INFO],sample=8129,bump_count=165
[2024-05-25 20:40:48.519669][INFO],sample=8130,bump_count=166
[2024-05-25 20:40:48.532916][INFO],sample=8131,bump_count=167
[2024-05-25 20:40:48.546164][INFO],sample=8132,bump_count=168
[2024-05-25 20:40:48.559441][INFO],sample=8133,bump_count=169
[2024-05-25 20:40:48.572703][INFO],sample=8134,bump_count=170
[2024-05-25 20:40:48.586006][INFO],sample=8135,bump_count=171
[2024-05-25 20:40:48.599262][INFO],sample=8136,bump_count=172
[2024-05-25 20:40:48.612528][INFO],sample=8137,bump_count=173
[2024-05-25 20:40:48.625866][INFO],sample=8138,bump_count=174
[2024-05-25 20:40:48.639318][INFO],sample=8139,bump_count=175
[2024-05-25 20:40:48.652718][INFO],sample=8140,bump_count=176
[2024-05-25 20:40:48.666067][INFO],sample=8141,bump_count=177
[2024-05-25 20:40:48.679349][INFO],sample=8142,bump_count=178
[2024-05-25 20:40:48.692603][INFO],sample=8143,bump_count=179
[2024-05-25 20:40:48.705904][INFO],sample=8144,bump_count=180
[2024-05-25 20:42:08.135848][INFO],sample=14145,bump_count=181
[2024-05-25 20:42:08.149081][INFO],sample=14146,bump_count=182
[2024-05-25 20:42:08.162325][INFO],sample=14147,bump_count=183
[2024-05-25 20:42:08.175570][INFO],sample=14148,bump_count=184
[2024-05-25 20:42:08.188803][INFO],sample=14149,bump_count=185
[2024-05-25 20:42:08.202032][INFO],sample=14150,bump_count=186
[2024-05-25 20:42:08.215276][INFO],sample=14151,bump_count=187
[2024-05-25 20:42:08.228505][INFO],sample=14152,bump_count=188
[2024-05-25 20:42:08.241741][INFO],sample=14153,bump_count=189
[2024-05-25 20:42:08.254967][INFO],sample=14154,bump_count=190
[2024-05-25 20:42:08.268205][INFO],sample=14155,bump_count=191
[2024-05-25 20:42:08.281442][INFO],sample=14156,bump_count=192
[2024-05-25 20:42:08.294669][INFO],sample=14157,bump_count=193
[2024-05-25 20:42:08.307894][INFO],sample=14158,bump_count=194
[2024-05-25 20:42:08.321130][INFO],sample=14159,bump_count=195
[2024-05-25 20:42:08.334383][INFO],sample=14160,bump_count=196
