lag,threshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,filterThreshold,positiveCoef,negativeCoef
50,9,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.8,0.3
50,10,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.8,0.2
50,11,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.8,0.2
50,12,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.8,0.2
50,10,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.8,0.2
50,11,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.8,0.2
50,12,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.8,0.2
50,9,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.9,0.3
50,9,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.9,0.3
50,11,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.9,0.2
50,12,0.25,21,14,7,8,4,4,66.666667,50,0.17,1.9,0.2
50,11,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.9,0.2
50,12,0.25,21,14,7,8,4,4,66.666667,50,0.18,1.9,0.2
50,8,0.25,21,13,8,8,4,4,61.904762,50,0.17,1.8,0.3
50,8,0.25,21,13,8,8,4,4,61.904762,50,0.18,1.8,0.3
50,8,0.25,21,13,8,8,4,4,61.904762,50,0.17,1.9,0.3
50,8,0.25,21,13,8,8,4,4,61.904762,50,0.18,1.9,0.3
50,9,0.25,21,14,7,8,5,3,66.666667,62.5,0.17,1.7,0.2
50,9,0.25,21,14,7,8,5,3,66.666667,62.5,0.18,1.7,0.2
50,10,0.25,21,13,8,8,5,3,61.904762,62.5,0.17,1.9,0.2
50,10,0.25,21,13,8,8,5,3,61.904762,62.5,0.18,1.9,0.2
50,9,0.25,21,12,9,8,5,3,57.142857,62.5,0.17,1.8,0.2
50,9,0.25,21,12,9,8,5,3,57.142857,62.5,0.18,1.8,0.2
