lag,threshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess
60,19.000000,0.250000,19,11,8,8,3,5,57.894737,37.500000
41,7.000000,0.100000,19,13,6,8,5,3,68.421053,62.500000
41,9.000000,0.100000,21,15,6,11,6,5,71.428571,54.545455
50,9.000000,0.250000,21,14,7,11,0,11,66.666667,0.000000
50,9.000000,0.250000,21,14,7,11,2,9,66.666667,18.181818
50,10.000000,0.250000,21,14,7,11,5,6,66.666667,45.454545
50,10.000000,0.250000,21,14,7,11,5,6,66.666667,45.454545
40,5.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.100000
40,5.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.200000
40,7.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.100000
40,7.000000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.200000
40,5.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.100000
40,5.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.200000
40,5.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.300000
40,5.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.400000
40,7.000000,0.250000,21,0,21,11,0,11,0.000000,0.000000,0.100000
40,7.000000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.200000
40,7.000000,0.250000,21,15,6,11,0,11,71.428571,0.000000,0.300000
40,7.000000,0.250000,21,15,6,11,0,11,71.428571,0.000000,0.400000
40,9.000000,0.250000,21,8,13,11,0,11,38.095238,0.000000,0.100000
40,9.000000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.200000
40,9.000000,0.250000,21,14,7,11,0,11,66.666667,0.000000,0.300000
40,9.000000,0.250000,21,13,8,11,0,11,61.904762,0.000000,0.400000
40,11.000000,0.250000,21,8,13,11,0,11,38.095238,0.000000,0.100000
40,11.000000,0.250000,21,14,7,11,5,6,66.666667,45.454545,0.200000
40,11.000000,0.250000,21,13,8,11,0,11,61.904762,0.000000,0.300000
40,11.000000,0.250000,21,11,10,11,0,11,52.380952,0.000000,0.400000
40,13.000000,0.250000,21,8,13,11,0,11,38.095238,0.000000,0.100000
40,13.000000,0.250000,21,13,8,11,4,7,61.904762,36.363636,0.200000
