lag,zScoreThreshold,influence,bumpPressCount,correctBumpDetections,incorrectBumpDetections,potholePressCount,correctPotholeDetections,incorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,bumpFalsePositives,potholeFalsePositives,activeFilterThresholdBump,activeFilterPosCoefBump,activeFilterNegCoefBump,activeFilterThresholdPothole,activeFilterPosCoefPothole,activeFilterNegCoefPothole
50, 10.000000, 0.100000, 21, 9, 12, 8, 6, 2, 42.857143, 75.000000, 1, 9, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.200000, 21, 9, 12, 8, 6, 2, 42.857143, 75.000000, 1, 9, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.300000, 21, 9, 12, 8, 6, 2, 42.857143, 75.000000, 1, 9, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.400000, 21, 9, 12, 8, 6, 2, 42.857143, 75.000000, 1, 9, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.500000, 21, 9, 12, 8, 6, 2, 42.857143, 75.000000, 1, 9, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
5, 5.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 31, 18, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
10, 5.000000, 0.250000, 21, 9, 12, 8, 3, 5, 42.857143, 37.500000, 90, 101, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
15, 5.000000, 0.250000, 21, 14, 7, 8, 4, 4, 66.666667, 50.000000, 47, 58, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
20, 5.000000, 0.250000, 21, 16, 5, 8, 5, 3, 76.190476, 62.500000, 34, 27, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
25, 5.000000, 0.250000, 21, 17, 4, 8, 5, 3, 80.952381, 62.500000, 25, 22, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
30, 5.000000, 0.250000, 21, 17, 4, 8, 5, 3, 80.952381, 62.500000, 15, 25, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
35, 5.000000, 0.250000, 21, 17, 4, 8, 5, 3, 80.952381, 62.500000, 18, 12, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
40, 5.000000, 0.250000, 21, 17, 4, 8, 5, 3, 80.952381, 62.500000, 16, 19, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
45, 5.000000, 0.250000, 21, 17, 4, 8, 6, 2, 80.952381, 75.000000, 15, 21, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 5.000000, 0.250000, 21, 16, 5, 8, 6, 2, 76.190476, 75.000000, 21, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
55, 5.000000, 0.250000, 21, 17, 4, 8, 6, 2, 80.952381, 75.000000, 20, 14, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
60, 5.000000, 0.250000, 21, 17, 4, 8, 6, 2, 80.952381, 75.000000, 22, 21, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
65, 5.000000, 0.250000, 21, 17, 4, 8, 6, 2, 80.952381, 75.000000, 21, 9, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
70, 5.000000, 0.250000, 21, 17, 4, 8, 6, 2, 80.952381, 75.000000, 24, 11, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
5, 6.000000, 0.250000, 21, 4, 17, 8, 1, 7, 19.047619, 12.500000, 81, 76, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
10, 6.000000, 0.250000, 21, 9, 12, 8, 5, 3, 42.857143, 62.500000, 47, 46, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
15, 6.000000, 0.250000, 21, 15, 6, 8, 6, 2, 71.428571, 75.000000, 12, 27, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
20, 6.000000, 0.250000, 21, 16, 5, 8, 6, 2, 76.190476, 75.000000, 10, 10, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
25, 6.000000, 0.250000, 21, 16, 5, 8, 6, 2, 76.190476, 75.000000, 5, 12, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
30, 6.000000, 0.250000, 21, 16, 5, 8, 6, 2, 76.190476, 75.000000, 5, 15, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
35, 6.000000, 0.250000, 21, 17, 4, 8, 5, 3, 80.952381, 62.500000, 9, 10, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
40, 6.000000, 0.250000, 21, 17, 4, 8, 6, 2, 80.952381, 75.000000, 4, 13, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
45, 6.000000, 0.250000, 21, 17, 4, 8, 6, 2, 80.952381, 75.000000, 5, 16, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 6.000000, 0.250000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 6, 5, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
55, 6.000000, 0.250000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 5, 11, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
60, 6.000000, 0.250000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 6, 16, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
65, 6.000000, 0.250000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 7, 3, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
70, 6.000000, 0.250000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 7, 10, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
5, 7.000000, 0.250000, 21, 6, 15, 8, 1, 7, 28.571429, 12.500000, 87, 120, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
10, 7.000000, 0.250000, 21, 8, 13, 8, 5, 3, 38.095238, 62.500000, 17, 31, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
15, 7.000000, 0.250000, 21, 14, 7, 8, 6, 2, 66.666667, 75.000000, 3, 22, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
20, 7.000000, 0.250000, 21, 13, 8, 8, 6, 2, 61.904762, 75.000000, 3, 10, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
25, 7.000000, 0.250000, 21, 13, 8, 8, 6, 2, 61.904762, 75.000000, 1, 12, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
30, 7.000000, 0.250000, 21, 15, 6, 8, 6, 2, 71.428571, 75.000000, 2, 14, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
35, 7.000000, 0.250000, 21, 16, 5, 8, 6, 2, 76.190476, 75.000000, 4, 8, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
40, 7.000000, 0.250000, 21, 16, 5, 8, 6, 2, 76.190476, 75.000000, 4, 13, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
45, 7.000000, 0.250000, 21, 16, 5, 8, 6, 2, 76.190476, 75.000000, 4, 15, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 7.000000, 0.250000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 5, 7, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
55, 7.000000, 0.250000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 3, 12, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
60, 7.000000, 0.250000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 3, 15, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
65, 7.000000, 0.250000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 4, 4, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
70, 7.000000, 0.250000, 21, 18, 3, 8, 6, 2, 85.714286, 75.000000, 4, 10, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
5, 8.000000, 0.250000, 21, 5, 16, 8, 2, 6, 23.809524, 25.000000, 87, 104, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
10, 8.000000, 0.250000, 21, 7, 14, 8, 5, 3, 33.333333, 62.500000, 4, 22, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
15, 8.000000, 0.250000, 21, 8, 13, 8, 6, 2, 38.095238, 75.000000, 0, 20, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
20, 8.000000, 0.250000, 21, 10, 11, 8, 6, 2, 47.619048, 75.000000, 0, 12, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
25, 8.000000, 0.250000, 21, 10, 11, 8, 6, 2, 47.619048, 75.000000, 1, 12, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
