[2024-06-04 16:52:08.673474][INFO],sample=5249,bump_count=16
[2024-06-04 16:52:08.673515][INFO],sample=5249,pothole_count=106
[2024-06-04 16:52:08.686760][INFO],sample=5250,bump_count=17
[2024-06-04 16:52:08.686803][INFO],sample=5250,pothole_count=107
[2024-06-04 16:52:08.700026][INFO],sample=5251,bump_count=18
[2024-06-04 16:52:08.700067][INFO],sample=5251,pothole_count=108
[2024-06-04 16:52:08.713294][INFO],sample=5252,bump_count=19
[2024-06-04 16:52:08.713333][INFO],sample=5252,pothole_count=109
[2024-06-04 16:52:08.726556][INFO],sample=5253,bump_count=20
[2024-06-04 16:52:08.726595][INFO],sample=5253,pothole_count=110
[2024-06-04 16:52:08.739828][INFO],sample=5254,bump_count=21
[2024-06-04 16:52:08.739866][INFO],sample=5254,pothole_count=111
[2024-06-04 16:52:08.753086][INFO],sample=5255,bump_count=22
[2024-06-04 16:52:08.753124][INFO],sample=5255,pothole_count=112
[2024-06-04 16:52:08.766342][INFO],sample=5256,bump_count=23
[2024-06-04 16:52:08.766382][INFO],sample=5256,pothole_count=113
[2024-06-04 16:52:08.779600][INFO],sample=5257,bump_count=24
[2024-06-04 16:52:08.779638][INFO],sample=5257,pothole_count=114
[2024-06-04 16:52:08.792870][INFO],sample=5258,bump_count=25
[2024-06-04 16:52:08.792912][INFO],sample=5258,pothole_count=115
[2024-06-04 16:52:08.806134][INFO],sample=5259,bump_count=26
[2024-06-04 16:52:08.806174][INFO],sample=5259,pothole_count=116
[2024-06-04 16:52:08.819392][INFO],sample=5260,bump_count=27
[2024-06-04 16:52:08.819430][INFO],sample=5260,pothole_count=117
[2024-06-04 16:52:08.832648][INFO],sample=5261,bump_count=28
[2024-06-04 16:52:08.832686][INFO],sample=5261,pothole_count=118
[2024-06-04 16:52:08.845903][INFO],sample=5262,bump_count=29
[2024-06-04 16:52:08.845941][INFO],sample=5262,pothole_count=119
[2024-06-04 16:52:08.859160][INFO],sample=5263,bump_count=30
[2024-06-04 16:52:08.859200][INFO],sample=5263,pothole_count=120
[2024-06-04 16:52:08.872425][INFO],sample=5264,bump_count=31
[2024-06-04 16:52:08.872463][INFO],sample=5264,pothole_count=121
[2024-06-04 16:52:08.885681][INFO],sample=5265,bump_count=32
[2024-06-04 16:52:08.885719][INFO],sample=5265,pothole_count=122
[2024-06-04 16:52:08.898958][INFO],sample=5266,bump_count=33
[2024-06-04 16:52:08.898996][INFO],sample=5266,pothole_count=123
[2024-06-04 16:52:08.912212][INFO],sample=5267,bump_count=34
[2024-06-04 16:52:08.912250][INFO],sample=5267,pothole_count=124
[2024-06-04 16:52:08.925485][INFO],sample=5268,bump_count=35
[2024-06-04 16:52:08.925522][INFO],sample=5268,pothole_count=125
[2024-06-04 16:52:08.938749][INFO],sample=5269,bump_count=36
[2024-06-04 16:52:08.938799][INFO],sample=5269,pothole_count=126
[2024-06-04 16:52:08.952026][INFO],sample=5270,bump_count=37
[2024-06-04 16:52:08.952064][INFO],sample=5270,pothole_count=127
[2024-06-04 16:52:08.965289][INFO],sample=5271,bump_count=38
[2024-06-04 16:52:08.965327][INFO],sample=5271,pothole_count=128
[2024-06-04 16:52:08.978548][INFO],sample=5272,bump_count=39
[2024-06-04 16:52:08.978585][INFO],sample=5272,pothole_count=129
[2024-06-04 16:52:08.991805][INFO],sample=5273,bump_count=40
[2024-06-04 16:52:08.991844][INFO],sample=5273,pothole_count=130
[2024-06-04 16:52:09.5079][INFO],sample=5274,bump_count=41
[2024-06-04 16:52:09.5118][INFO],sample=5274,pothole_count=131
[2024-06-04 16:52:09.18340][INFO],sample=5275,bump_count=42
[2024-06-04 16:52:09.18382][INFO],sample=5275,pothole_count=132
[2024-06-04 16:52:09.31605][INFO],sample=5276,bump_count=43
[2024-06-04 16:52:09.31643][INFO],sample=5276,pothole_count=133
[2024-06-04 16:52:09.44864][INFO],sample=5277,bump_count=44
[2024-06-04 16:52:09.44901][INFO],sample=5277,pothole_count=134
[2024-06-04 16:52:09.58118][INFO],sample=5278,bump_count=45
[2024-06-04 16:52:09.58155][INFO],sample=5278,pothole_count=135
[2024-06-04 16:52:09.71377][INFO],sample=5279,bump_count=46
[2024-06-04 16:52:09.71415][INFO],sample=5279,pothole_count=136
[2024-06-04 16:52:09.84634][INFO],sample=5280,bump_count=47
[2024-06-04 16:52:09.84672][INFO],sample=5280,pothole_count=137
[2024-06-04 16:52:09.97889][INFO],sample=5281,bump_count=48
[2024-06-04 16:52:09.97926][INFO],sample=5281,pothole_count=138
[2024-06-04 16:52:09.111156][INFO],sample=5282,bump_count=49
[2024-06-04 16:52:09.111195][INFO],sample=5282,pothole_count=139
[2024-06-04 16:52:09.124416][INFO],sample=5283,bump_count=50
[2024-06-04 16:52:09.124455][INFO],sample=5283,pothole_count=140
[2024-06-04 16:52:09.137673][INFO],sample=5284,bump_count=51
[2024-06-04 16:52:09.137711][INFO],sample=5284,pothole_count=141
[2024-06-04 16:52:09.150929][INFO],sample=5285,bump_count=52
[2024-06-04 16:52:09.150967][INFO],sample=5285,pothole_count=142
[2024-06-04 16:52:09.164181][INFO],sample=5286,bump_count=53
[2024-06-04 16:52:09.164229][INFO],sample=5286,pothole_count=143
[2024-06-04 16:52:09.177469][INFO],sample=5287,bump_count=54
[2024-06-04 16:52:09.177507][INFO],sample=5287,pothole_count=144
[2024-06-04 16:52:09.190724][INFO],sample=5288,bump_count=55
[2024-06-04 16:52:09.190763][INFO],sample=5288,pothole_count=145
[2024-06-04 16:52:09.203980][INFO],sample=5289,bump_count=56
[2024-06-04 16:52:09.204018][INFO],sample=5289,pothole_count=146
[2024-06-04 16:52:09.217250][INFO],sample=5290,bump_count=57
[2024-06-04 16:52:09.217288][INFO],sample=5290,pothole_count=147
[2024-06-04 16:52:09.230503][INFO],sample=5291,bump_count=58
[2024-06-04 16:52:09.230541][INFO],sample=5291,pothole_count=148
[2024-06-04 16:52:09.243765][INFO],sample=5292,bump_count=59
[2024-06-04 16:52:09.243810][INFO],sample=5292,pothole_count=149
[2024-06-04 16:52:09.257032][INFO],sample=5293,bump_count=60
[2024-06-04 16:52:09.257071][INFO],sample=5293,pothole_count=150
[2024-06-04 16:52:09.270294][INFO],sample=5294,bump_count=61
[2024-06-04 16:52:09.270333][INFO],sample=5294,pothole_count=151
[2024-06-04 16:52:09.283551][INFO],sample=5295,bump_count=62
[2024-06-04 16:52:09.283588][INFO],sample=5295,pothole_count=152
[2024-06-04 16:52:09.296809][INFO],sample=5296,bump_count=63
[2024-06-04 16:52:09.296846][INFO],sample=5296,pothole_count=153
[2024-06-04 16:52:09.310062][INFO],sample=5297,bump_count=64
[2024-06-04 16:52:09.310099][INFO],sample=5297,pothole_count=154
[2024-06-04 16:52:09.323327][INFO],sample=5298,bump_count=65
[2024-06-04 16:52:09.323364][INFO],sample=5298,pothole_count=155
[2024-06-04 16:52:09.336582][INFO],sample=5299,bump_count=66
[2024-06-04 16:52:09.336619][INFO],sample=5299,pothole_count=156
[2024-06-04 16:52:09.349854][INFO],sample=5300,bump_count=67
[2024-06-04 16:52:09.349914][INFO],sample=5300,pothole_count=157
[2024-06-04 16:52:09.363143][INFO],sample=5301,bump_count=68
[2024-06-04 16:52:09.363184][INFO],sample=5301,pothole_count=158
[2024-06-04 16:52:09.376405][INFO],sample=5302,bump_count=69
[2024-06-04 16:52:09.376443][INFO],sample=5302,pothole_count=159
[2024-06-04 16:52:09.389660][INFO],sample=5303,bump_count=70
[2024-06-04 16:52:09.389698][INFO],sample=5303,pothole_count=160
[2024-06-04 16:52:09.402917][INFO],sample=5304,bump_count=71
[2024-06-04 16:52:09.402958][INFO],sample=5304,pothole_count=161
[2024-06-04 16:52:09.416176][INFO],sample=5305,bump_count=72
[2024-06-04 16:52:09.416214][INFO],sample=5305,pothole_count=162
[2024-06-04 16:52:09.429461][INFO],sample=5306,bump_count=73
[2024-06-04 16:52:09.429500][INFO],sample=5306,pothole_count=163
[2024-06-04 16:52:09.442717][INFO],sample=5307,bump_count=74
[2024-06-04 16:52:09.442756][INFO],sample=5307,pothole_count=164
[2024-06-04 16:52:09.455974][INFO],sample=5308,bump_count=75
[2024-06-04 16:52:09.456011][INFO],sample=5308,pothole_count=165
[2024-06-04 16:52:09.469236][INFO],sample=5309,bump_count=76
[2024-06-04 16:52:09.469274][INFO],sample=5309,pothole_count=166
[2024-06-04 16:52:09.482491][INFO],sample=5310,bump_count=77
[2024-06-04 16:52:09.482528][INFO],sample=5310,pothole_count=167
[2024-06-04 16:52:09.495744][INFO],sample=5311,bump_count=78
[2024-06-04 16:52:09.495781][INFO],sample=5311,pothole_count=168
[2024-06-04 16:52:09.509001][INFO],sample=5312,bump_count=79
[2024-06-04 16:52:09.509039][INFO],sample=5312,pothole_count=169
[2024-06-04 16:52:09.522257][INFO],sample=5313,bump_count=80
[2024-06-04 16:52:09.522295][INFO],sample=5313,pothole_count=170
[2024-06-04 16:52:09.535511][INFO],sample=5314,bump_count=81
[2024-06-04 16:52:09.535549][INFO],sample=5314,pothole_count=171
[2024-06-04 16:52:09.548789][INFO],sample=5315,bump_count=82
[2024-06-04 16:52:09.548827][INFO],sample=5315,pothole_count=172
[2024-06-04 16:52:09.562043][INFO],sample=5316,bump_count=83
[2024-06-04 16:52:09.562080][INFO],sample=5316,pothole_count=173
[2024-06-04 16:52:09.575296][INFO],sample=5317,bump_count=84
[2024-06-04 16:52:09.575334][INFO],sample=5317,pothole_count=174
[2024-06-04 16:52:09.588600][INFO],sample=5318,bump_count=85
[2024-06-04 16:52:09.588706][INFO],sample=5318,pothole_count=175
[2024-06-04 16:52:09.602019][INFO],sample=5319,bump_count=86
[2024-06-04 16:52:09.602117][INFO],sample=5319,pothole_count=176
[2024-06-04 16:52:09.615389][INFO],sample=5320,bump_count=87
[2024-06-04 16:52:09.615487][INFO],sample=5320,pothole_count=177
[2024-06-04 16:52:09.628728][INFO],sample=5321,bump_count=88
[2024-06-04 16:52:09.628772][INFO],sample=5321,pothole_count=178
[2024-06-04 16:52:09.641990][INFO],sample=5322,bump_count=89
[2024-06-04 16:52:09.642028][INFO],sample=5322,pothole_count=179
[2024-06-04 16:52:09.655269][INFO],sample=5323,bump_count=90
[2024-06-04 16:52:09.655307][INFO],sample=5323,pothole_count=180
[2024-06-04 16:52:09.668539][INFO],sample=5324,bump_count=91
[2024-06-04 16:52:09.681766][INFO],sample=5325,bump_count=92
[2024-06-04 16:52:09.694995][INFO],sample=5326,bump_count=93
[2024-06-04 16:52:09.708225][INFO],sample=5327,bump_count=94
[2024-06-04 16:52:09.721470][INFO],sample=5328,bump_count=95
[2024-06-04 16:52:09.734695][INFO],sample=5329,bump_count=96
[2024-06-04 16:52:09.747921][INFO],sample=5330,bump_count=97
[2024-06-04 16:52:09.761164][INFO],sample=5331,bump_count=98
[2024-06-04 16:52:09.774393][INFO],sample=5332,bump_count=99
[2024-06-04 16:52:09.787622][INFO],sample=5333,bump_count=100
[2024-06-04 16:52:09.800853][INFO],sample=5334,bump_count=101
[2024-06-04 16:52:09.814080][INFO],sample=5335,bump_count=102
[2024-06-04 16:52:09.827306][INFO],sample=5336,bump_count=103
[2024-06-04 16:52:09.840535][INFO],sample=5337,bump_count=104
[2024-06-04 16:52:09.853761][INFO],sample=5338,bump_count=105
[2024-06-04 16:52:11.262047][INFO],sample=5444,bump_count=106
[2024-06-04 16:52:11.262090][INFO],sample=5444,pothole_count=181
[2024-06-04 16:52:11.275344][INFO],sample=5445,bump_count=107
[2024-06-04 16:52:11.275385][INFO],sample=5445,pothole_count=182
[2024-06-04 16:52:11.288644][INFO],sample=5446,bump_count=108
[2024-06-04 16:52:11.288686][INFO],sample=5446,pothole_count=183
[2024-06-04 16:52:11.301933][INFO],sample=5447,bump_count=109
[2024-06-04 16:52:11.301974][INFO],sample=5447,pothole_count=184
[2024-06-04 16:52:11.315212][INFO],sample=5448,bump_count=110
[2024-06-04 16:52:11.315252][INFO],sample=5448,pothole_count=185
[2024-06-04 16:52:11.328490][INFO],sample=5449,bump_count=111
[2024-06-04 16:52:11.328531][INFO],sample=5449,pothole_count=186
[2024-06-04 16:52:11.341874][INFO],sample=5450,bump_count=112
[2024-06-04 16:52:11.341935][INFO],sample=5450,pothole_count=187
[2024-06-04 16:52:11.355191][INFO],sample=5451,bump_count=113
[2024-06-04 16:52:11.355235][INFO],sample=5451,pothole_count=188
[2024-06-04 16:52:11.368477][INFO],sample=5452,bump_count=114
[2024-06-04 16:52:11.368519][INFO],sample=5452,pothole_count=189
[2024-06-04 16:52:11.381777][INFO],sample=5453,bump_count=115
[2024-06-04 16:52:11.381822][INFO],sample=5453,pothole_count=190
[2024-06-04 16:52:11.395062][INFO],sample=5454,bump_count=116
[2024-06-04 16:52:11.395108][INFO],sample=5454,pothole_count=191
[2024-06-04 16:52:11.408303][INFO],sample=5455,bump_count=117
[2024-06-04 16:52:11.408351][INFO],sample=5455,pothole_count=192
[2024-06-04 16:52:11.421597][INFO],sample=5456,bump_count=118
[2024-06-04 16:52:11.421639][INFO],sample=5456,pothole_count=193
[2024-06-04 16:52:11.434915][INFO],sample=5457,bump_count=119
[2024-06-04 16:52:11.434956][INFO],sample=5457,pothole_count=194
[2024-06-04 16:52:11.448203][INFO],sample=5458,bump_count=120
[2024-06-04 16:52:11.448245][INFO],sample=5458,pothole_count=195
[2024-06-04 16:52:11.461505][INFO],sample=5459,bump_count=121
[2024-06-04 16:52:11.461550][INFO],sample=5459,pothole_count=196
[2024-06-04 16:52:11.474855][INFO],sample=5460,bump_count=122
[2024-06-04 16:52:11.474897][INFO],sample=5460,pothole_count=197
[2024-06-04 16:52:11.488147][INFO],sample=5461,bump_count=123
[2024-06-04 16:52:11.488189][INFO],sample=5461,pothole_count=198
[2024-06-04 16:52:11.501388][INFO],sample=5462,bump_count=124
[2024-06-04 16:52:11.501430][INFO],sample=5462,pothole_count=199
[2024-06-04 16:52:11.514670][INFO],sample=5463,bump_count=125
[2024-06-04 16:52:11.514711][INFO],sample=5463,pothole_count=200
[2024-06-04 16:52:11.527961][INFO],sample=5464,bump_count=126
[2024-06-04 16:52:11.528001][INFO],sample=5464,pothole_count=201
[2024-06-04 16:52:11.541259][INFO],sample=5465,bump_count=127
[2024-06-04 16:52:11.541301][INFO],sample=5465,pothole_count=202
[2024-06-04 16:52:11.554566][INFO],sample=5466,bump_count=128
[2024-06-04 16:52:11.554609][INFO],sample=5466,pothole_count=203
[2024-06-04 16:52:11.567851][INFO],sample=5467,bump_count=129
[2024-06-04 16:52:11.567891][INFO],sample=5467,pothole_count=204
[2024-06-04 16:52:11.581130][INFO],sample=5468,bump_count=130
[2024-06-04 16:52:11.581172][INFO],sample=5468,pothole_count=205
[2024-06-04 16:52:11.594425][INFO],sample=5469,bump_count=131
[2024-06-04 16:52:11.594466][INFO],sample=5469,pothole_count=206
[2024-06-04 16:52:11.607748][INFO],sample=5470,bump_count=132
[2024-06-04 16:52:11.607788][INFO],sample=5470,pothole_count=207
[2024-06-04 16:52:11.621027][INFO],sample=5471,bump_count=133
[2024-06-04 16:52:11.621068][INFO],sample=5471,pothole_count=208
[2024-06-04 16:52:11.634307][INFO],sample=5472,bump_count=134
[2024-06-04 16:52:11.634348][INFO],sample=5472,pothole_count=209
[2024-06-04 16:52:11.647586][INFO],sample=5473,bump_count=135
[2024-06-04 16:52:11.647627][INFO],sample=5473,pothole_count=210
[2024-06-04 16:52:11.660884][INFO],sample=5474,bump_count=136
[2024-06-04 16:52:11.660925][INFO],sample=5474,pothole_count=211
[2024-06-04 16:52:11.674200][INFO],sample=5475,bump_count=137
[2024-06-04 16:52:11.674240][INFO],sample=5475,pothole_count=212
[2024-06-04 16:52:11.687549][INFO],sample=5476,bump_count=138
[2024-06-04 16:52:11.687665][INFO],sample=5476,pothole_count=213
[2024-06-04 16:52:11.701102][INFO],sample=5477,bump_count=139
[2024-06-04 16:52:11.701205][INFO],sample=5477,pothole_count=214
[2024-06-04 16:52:11.714526][INFO],sample=5478,bump_count=140
[2024-06-04 16:52:11.714643][INFO],sample=5478,pothole_count=215
[2024-06-04 16:52:11.727944][INFO],sample=5479,bump_count=141
[2024-06-04 16:52:11.727989][INFO],sample=5479,pothole_count=216
[2024-06-04 16:52:11.741232][INFO],sample=5480,bump_count=142
[2024-06-04 16:52:11.741275][INFO],sample=5480,pothole_count=217
[2024-06-04 16:52:11.754516][INFO],sample=5481,bump_count=143
[2024-06-04 16:52:11.754557][INFO],sample=5481,pothole_count=218
[2024-06-04 16:52:11.767850][INFO],sample=5482,bump_count=144
[2024-06-04 16:52:11.767891][INFO],sample=5482,pothole_count=219
[2024-06-04 16:52:11.781131][INFO],sample=5483,bump_count=145
[2024-06-04 16:52:11.781172][INFO],sample=5483,pothole_count=220
[2024-06-04 16:52:11.794413][INFO],sample=5484,bump_count=146
[2024-06-04 16:52:11.794456][INFO],sample=5484,pothole_count=221
[2024-06-04 16:52:11.807745][INFO],sample=5485,bump_count=147
[2024-06-04 16:52:11.807787][INFO],sample=5485,pothole_count=222
[2024-06-04 16:52:11.821028][INFO],sample=5486,bump_count=148
[2024-06-04 16:52:11.821070][INFO],sample=5486,pothole_count=223
[2024-06-04 16:52:11.834310][INFO],sample=5487,bump_count=149
[2024-06-04 16:52:11.834351][INFO],sample=5487,pothole_count=224
[2024-06-04 16:52:11.847590][INFO],sample=5488,bump_count=150
[2024-06-04 16:52:11.847631][INFO],sample=5488,pothole_count=225
[2024-06-04 16:52:11.860893][INFO],sample=5489,bump_count=151
[2024-06-04 16:52:11.860934][INFO],sample=5489,pothole_count=226
[2024-06-04 16:52:11.874209][INFO],sample=5490,bump_count=152
[2024-06-04 16:52:11.874249][INFO],sample=5490,pothole_count=227
[2024-06-04 16:52:11.887498][INFO],sample=5491,bump_count=153
[2024-06-04 16:52:11.887538][INFO],sample=5491,pothole_count=228
[2024-06-04 16:52:11.900776][INFO],sample=5492,bump_count=154
[2024-06-04 16:52:11.900818][INFO],sample=5492,pothole_count=229
[2024-06-04 16:52:11.914071][INFO],sample=5493,bump_count=155
[2024-06-04 16:52:11.914111][INFO],sample=5493,pothole_count=230
[2024-06-04 16:52:11.927380][INFO],sample=5494,bump_count=156
[2024-06-04 16:52:11.927421][INFO],sample=5494,pothole_count=231
[2024-06-04 16:52:11.940667][INFO],sample=5495,bump_count=157
[2024-06-04 16:52:11.940711][INFO],sample=5495,pothole_count=232
[2024-06-04 16:52:11.953952][INFO],sample=5496,bump_count=158
[2024-06-04 16:52:11.954004][INFO],sample=5496,pothole_count=233
[2024-06-04 16:52:11.967283][INFO],sample=5497,bump_count=159
[2024-06-04 16:52:11.967327][INFO],sample=5497,pothole_count=234
[2024-06-04 16:52:11.980569][INFO],sample=5498,bump_count=160
[2024-06-04 16:52:11.980610][INFO],sample=5498,pothole_count=235
[2024-06-04 16:52:11.993880][INFO],sample=5499,bump_count=161
[2024-06-04 16:52:11.993923][INFO],sample=5499,pothole_count=236
[2024-06-04 16:52:12.7163][INFO],sample=5500,bump_count=162
[2024-06-04 16:52:12.7205][INFO],sample=5500,pothole_count=237
[2024-06-04 16:52:12.20489][INFO],sample=5501,bump_count=163
[2024-06-04 16:52:12.20529][INFO],sample=5501,pothole_count=238
[2024-06-04 16:52:12.33766][INFO],sample=5502,bump_count=164
[2024-06-04 16:52:12.33807][INFO],sample=5502,pothole_count=239
[2024-06-04 16:52:12.47043][INFO],sample=5503,bump_count=165
